chembl_id,smiles,Prediccion_Activo,Probabilidad_Activo
CHEMBL293189,COc1nn(Cc2ccc(-c3ccccc3C#N)cc2)cc1C(=O)O,1,0.745
CHEMBL63193,N#Cc1ccccc1-c1ccc(COc2n[nH]cc2C(=O)O)cc1,1,0.73
CHEMBL293190,N#Cc1ccccc1-c1ccc(Cn2cc(C(=O)O)c(OCc3ccccc3)n2)cc1,1,0.655
CHEMBL449093,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1O,1,0.64
CHEMBL7853,CC(C)(C)NCC(O)COc1ccc(NC(=O)c2cccs2)cc1C#N,1,0.62
CHEMBL31100,COc1cc(CC(=O)NCCNCC(O)COc2ccccc2C#N)nc(-c2ccc(Cl)cc2)n1,1,0.62
CHEMBL310580,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)c(O)c2)cc1,1,0.615
CHEMBL83228,COc1ccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)cc1OC,1,0.61
CHEMBL22854,COc1ccc(OC)c(Oc2cc(Cn3ccnc3)ccc2C#N)c1,1,0.61
CHEMBL30697,N#Cc1ccccc1OCC(O)CNCCNC(=O)Cc1csc(-c2ccc(Cl)cc2)n1,1,0.605
CHEMBL42007,COc1ccc(C(=O)Nc2cnc3c(c2)CN(C)CC3(C)C)cc1C#N,1,0.6
CHEMBL84803,COc1cc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)cc(OC)c1,1,0.595
CHEMBL24228,CCN1C(=O)c2c(nc(OC)n2Cc2ccc(OC)c(C#N)c2)N2C[C@@H](Cc3ccccc3)N=C12,1,0.595
CHEMBL22826,COc1cccc(Oc2cc(Cn3ccnc3)ccc2C#N)c1,1,0.595
CHEMBL46077,N=C(N)c1cccc(Oc2ccc(C(=O)O)c(Oc3cccc(C(=N)N)c3)n2)c1,1,0.59
CHEMBL29601,C=CCOC(=O)NC(CC(=O)O)C(=O)COc1cc2ccccc2cc1C#N,1,0.585
CHEMBL290305,Cc1ccc2c(c1)nc(S)n2CNc1ccc(C(=O)O)c(O)c1,1,0.585
CHEMBL77883,CCOc1ccc(Br)cc1-c1cc(Nc2ccc(C#N)cc2)nc(N)n1,1,0.585
CHEMBL278111,CCCCc1ccc(C#N)c(=O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.585
CHEMBL9296,CCOc1ccccc1NC(=O)Nc1nc2ccncc2cc1C#N,1,0.58
CHEMBL22319,N#Cc1ccc(Cn2ccnc2)cc1Oc1ccc(Cl)cc1Cl,1,0.58
CHEMBL36268,Cc1nc(-c2ccc(C(F)(F)F)cc2)oc1COc1ccc(C(=O)O)cc1,1,0.58
CHEMBL54033,CCCCCNC(=O)C(Cc1ccc(OCC(=O)O)c(C#N)c1)NC(=O)CCC(=O)O,1,0.575
CHEMBL286350,CCCn1c(=O)[nH]c2[nH]c(-c3ccc4cc(C(=O)O)ccc4c3)nc2c1=O,1,0.57
CHEMBL30597,COc1cc2ncc(C#N)c(Nc3ccc(SC)cc3)c2cc1OC,1,0.57
CHEMBL22800,N#Cc1ccc(Cn2ccnc2)cc1OCCCCc1ccccc1,1,0.57
CHEMBL37139,COc1ccc(/C=C/c2ccc3ccc(C(=O)O)c(O)c3n2)cc1O,1,0.565
CHEMBL279758,COc1ccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)cc1,1,0.565
CHEMBL418613,O=C(O)c1ccc2ccc(/C=C/c3ccc(O)cc3)nc2c1O,1,0.565
CHEMBL81090,COc1cc2ncc(C#N)c(Oc3cc(OC)c(OC)c(OC)c3)c2cc1OC,1,0.565
CHEMBL53322,CCCc1nc(C(=O)O)c(CO)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.56
CHEMBL312504,CC(C)COc1nc(NC(=O)Nc2ccc(Cl)c(Cl)c2)sc1C#N,1,0.56
CHEMBL309704,COc1cc2ncc(C#N)c(Nc3cc(OC)c(OC(C)C)c(OC)c3)c2cc1OC,1,0.56
CHEMBL37583,Cc1cc(OCCCON=C(N)N)cc(OS(=O)(=O)c2ccccc2C#N)c1,1,0.56
CHEMBL18746,FC(F)(F)CCCCOc1ccc(-c2nnn(CCCCc3nnn[nH]3)n2)cc1,1,0.56
CHEMBL25598,CCCCc1ccc(C(=O)OC)c(=O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,0.56
CHEMBL72361,CCCc1nc(-n2cccc2C(=O)O)c(C#N)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1,0.56
CHEMBL66543,COc1cccc(-n2ncc3c(N/N=C/c4ccc(C#N)cc4)ncnc32)c1,1,0.56
CHEMBL23755,N#Cc1ccccc1OCC(O)CNCCNC(=O)Nc1ccc(Cl)cc1,1,0.555
CHEMBL22710,CC(C)(C)c1cccc(Oc2cc(Cn3ccnc3)ccc2C#N)c1,1,0.555
CHEMBL24888,COc1cccc(Oc2cc(Cn3ccnc3)ccc2C#N)c1OC,1,0.555
CHEMBL39883,Nc1ccc(/C=C/c2ccc3ccc(C(=O)O)c(O)c3n2)cc1,1,0.555
CHEMBL22596,N#Cc1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1Cl,1,0.555
CHEMBL55826,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CC[C@H](NCCc3cncn3C2)C1=O,1,0.555
CHEMBL298143,Cc1nc(-c2ccc(C#N)cc2)sc1C(=O)N[C@H](C)[C@](O)(Cn1ccnc1)c1ccc(F)cc1F,1,0.555
CHEMBL71722,CC(C)n1cc(-c2ccc(Oc3ccccc3C#N)cc2)c2c(N)ncnc21,1,0.555
CHEMBL80702,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CCC(NCCc3cncn3C2)C1=O,1,0.555
CHEMBL70514,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)ncc1[N+](=O)[O-],1,0.555
CHEMBL82058,Cc1c(F)c(Oc2cccc(C(=N)N)c2)nc(Oc2cc(N(C)C)ccc2C(=O)O)c1F,1,0.555
CHEMBL74931,CCOc1ccc(Br)cc1-c1cc(Nc2cccc(C#N)c2)nc(N)n1,1,0.555
CHEMBL81073,COc1cc2ncc(C#N)c(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC,1,0.555
CHEMBL312117,O=C(O)c1cc(C(=O)O)c2cc(-c3ccc(-c4ccccc4)cc3)ccc2n1,1,0.555
CHEMBL303653,COC(=O)c1sccc1Oc1ccc(C(F)(F)F)cc1NC=C(C#N)C#N,1,0.55
CHEMBL55510,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)c(O)c1,1,0.55
CHEMBL420026,O=C(/C=C(\O)c1ccccc1)c1ccc2ccc(C(=O)O)c(O)c2n1,1,0.55
CHEMBL53821,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CC[C@H](NCc3cncn3C2)C1=O,1,0.55
CHEMBL418264,O=C(O)c1ccc(Cl)cc1-c1ccc2c(c1)OC[C@H](Cc1ccccc1)[C@H]2O,1,0.55
CHEMBL35063,COc1cc(/C=C2\CCCc3c(C)ccnc32)ccc1OC(C)=O,1,0.55
CHEMBL431508,O=C(O)c1ccc2ccc(/C=C/c3ccc([N+](=O)[O-])cc3)nc2c1O,1,0.55
CHEMBL18827,FC(F)(F)CCCCCOc1ccc(-c2nnn(CCCCc3nnn[nH]3)n2)cc1,1,0.55
CHEMBL23019,N#Cc1ccc(Cn2ccnc2)cc1Oc1cccc(Br)c1,1,0.545
CHEMBL22568,N#Cc1ccc(Cn2ccnc2)cc1OCCCc1ccccc1,1,0.545
CHEMBL30243,CCn1cc(C(=O)O)c(=O)c2cc(C#N)c(N3CCNCC3)cc21,1,0.545
CHEMBL39481,CC(=O)Nc1ccc(/C=C/c2ccc3ccc(C(=O)O)c(O)c3n2)cc1,1,0.545
CHEMBL289791,CCC(C#N)C(=O)N[C@H](C)[C@@H](Oc1cc(Br)ccc1C#N)c1ccccc1,1,0.545
CHEMBL310321,O=C(NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccc2ccc(C(=O)O)c(O)c2n1,1,0.545
CHEMBL77397,COc1cc(/C=C(\C)[N+](=O)[O-])ccc1OS(=O)(=O)c1ccc(C(=O)O)cc1,1,0.545
